16,2,1,33
16,2,2,33
16,2,3,33
16,2,4,33
16,2,5,33
16,2,6,33
16,2,7,33
16,2,8,33
16,2,9,33
16,2,10,33
16,2,11,33
16,2,12,33
16,2,13,33
16,2,14,33
16,2,15,33
16,2,16,33
16,2,17,33
16,2,18,33
16,2,19,33
16,2,20,33
16,2,21,33
16,2,22,33
16,2,23,33
16,2,24,33
16,2,25,33
16,2,26,33
16,2,27,33
16,2,28,33
16,2,29,33
16,2,30,33
16,2,31,33
16,2,32,33
26,2,1,33
26,2,2,33
26,2,3,33
26,2,4,33
26,2,5,33
26,2,6,33
26,2,7,33
26,2,8,33
26,2,9,33
26,2,10,33
26,2,11,33
26,2,12,33
26,2,13,33
26,2,14,33
26,2,15,33
26,2,16,33
26,2,17,33
26,2,18,33
26,2,19,33
26,2,20,33
26,2,21,33
26,2,22,33
26,2,23,33
26,2,24,33
26,2,25,33
26,2,26,33
26,2,27,33
26,2,28,33
26,2,29,33
26,2,30,33
26,2,31,33
26,2,32,33
25,2,1,33
25,2,2,33
25,2,3,33
25,2,4,33
25,2,5,33
25,2,6,33
25,2,7,33
25,2,8,33
25,2,9,33
25,2,10,33
25,2,11,33
25,2,12,33
25,2,13,33
25,2,14,33
25,2,15,33
25,2,16,33
25,2,17,33
25,2,18,33
25,2,19,33
25,2,20,33
25,2,21,33
25,2,22,33
25,2,23,33
25,2,24,33
25,2,25,33
25,2,26,33
25,2,27,33
25,2,28,33
25,2,29,33
25,2,30,33
25,2,31,33
25,2,32,33
24,1,1,33
24,1,2,33
24,1,3,33
24,1,4,33
24,1,5,33
24,1,6,33
24,1,7,33
24,1,8,33
24,1,9,33
24,1,10,33
24,1,11,33
24,1,12,33
24,1,13,33
24,1,14,33
24,1,15,33
24,1,16,33
24,1,17,33
24,1,18,33
24,1,19,33
24,1,20,33
24,1,21,33
24,1,22,33
24,1,23,33
24,1,24,33
24,1,25,33
24,1,26,33
24,1,27,33
24,1,28,33
24,1,29,33
24,1,30,33
24,1,31,33
24,1,32,33
12,6,1,33
12,6,2,33
12,6,3,33
12,6,4,33
12,6,5,33
12,6,6,33
12,6,7,33
12,6,8,33
12,6,9,33
12,6,10,33
12,6,11,33
12,6,12,33
12,6,13,33
12,6,14,33
12,6,15,33
12,6,16,33
12,6,17,33
12,6,18,33
12,6,19,33
12,6,20,33
12,6,21,33
12,6,22,33
12,6,23,33
12,6,24,33
12,6,25,33
12,6,26,33
12,6,27,33
12,6,28,33
12,6,29,33
12,6,30,33
12,6,31,33
12,6,32,33
16,12,1,33
16,12,2,33
16,12,3,33
16,12,4,33
16,12,5,33
16,12,6,33
16,12,7,33
16,12,8,33
16,12,9,33
16,12,10,33
16,12,11,33
16,12,12,33
16,12,13,33
16,12,14,33
16,12,15,33
16,12,16,33
16,12,17,33
16,12,18,33
16,12,19,33
16,12,20,33
16,12,21,33
16,12,22,33
16,12,23,33
16,12,24,33
16,12,25,33
16,12,26,33
16,12,27,33
16,12,28,33
16,12,29,33
16,12,30,33
16,12,31,33
16,12,32,33
11,6,1,33
11,6,2,33
11,6,3,33
11,6,4,33
11,6,5,33
11,6,6,33
11,6,7,33
11,6,8,33
11,6,9,33
11,6,10,33
11,6,11,33
11,6,12,33
11,6,13,33
11,6,14,33
11,6,15,33
11,6,16,33
