-81.546,-108.05,500.47
-84.866,-172.27,500.67
-63.063,-188.91,509.53
-18.243,-188.99,496.63
10.493,-175.42,501.49
27.343,-137.76,493.87
8.3718,-104.25,501.76
-18.37,-93.254,496.64
-59.143,-96.15,509.29
-84.3,-119.39,518.53
-86.006,-137.76,524.87
-86.44,-160.69,518.7
-62.124,-185.03,529.45
-29.462,-192.34,518.18
-4.755,-178.12,539.46
29.2,-137.76,519.69
-4.9096,-103.43,539.29
-31.898,-90.275,518.3
-58.609,-101.35,528.7
-58.59,-114.76,543.81
-69.491,-137.76,544.83
-60.991,-172.15,544.58
-25.653,-184.94,542.83
19.058,-157.79,539.79
20.713,-137.76,544.2
17.582,-123.71,538.08
-27.811,-98.836,542.3
-24.514,-117.45,559.91
-48.334,-137.76,559.91
-22.976,-168.2,561.87
2.3417,-137.76,562.15
-23.078,-137.76,565.77
-95.99,-137.76,501.34
